AGENT,CATEGORY,ISSUE_TYPE,PAGE_URL,ELEMENT,MESSAGE,SEVERITY,RECOMMENDATION,CONFIDENCE,REQUIRES_REVIEW
altText,Detection,Placeholder Alt Text,https://asuonline.asu.edu/study/health-and-nursing/,"<img src=""https://cms.asuonline.asu.edu/sites/g/files/litvpz1971/files/2022-08/20180831BlairBraden_04.jpeg"" alt=""cardImage"">","Image uses a generic placeholder ""cardImage"" as alt text, which provides no value to screen reader users.",medium,"Provide a concise description of the image based on its purpose in the ""What can I do with a degree in health and nursing?"" section.",high,false
altText,Detection,Placeholder Alt Text,https://asuonline.asu.edu/study/health-and-nursing/,"<img src=""https://cms.asuonline.asu.edu/sites/default/files/AreasOfStudy.png"" alt=""cardImage"">","Image uses a generic placeholder ""cardImage"" as alt text, which provides no value to screen reader users.",medium,"Provide a concise description of the image based on its purpose in the ""Explore more degree programs"" section.",high,false
altText,Detection,Placeholder Alt Text,https://asuonline.asu.edu/study/health-and-nursing/,"<img src=""https://cms.asuonline.asu.edu/sites/default/files/AreasOfStudy.png"" alt=""cardImage"">","Image uses a generic placeholder ""cardImage"" as alt text, which provides no value to screen reader users.",medium,"Provide a concise description of the image based on its purpose in the ""Explore more degree programs"" section.",high,false
altQuality,Analysis,GENERIC,https://asuonline.asu.edu/study/health-and-nursing/,"<img src=""https://cms.asuonline.asu.edu/sites/g/files/litvpz1971/files/2022-08/20190217VivaMaryvale_18.jpeg"" alt=""cardImage"">",Alt text quality issue: generic,medium,"Alt text ""cardImage"" is too generic. Provide a concise description of the image based on its purpose in the ""What can I do with a degree in health and nursing?"" section.",low,true
altQuality,Analysis,GENERIC,https://asuonline.asu.edu/study/health-and-nursing/,"<img src=""https://cms.asuonline.asu.edu/sites/g/files/litvpz1971/files/2022-08/20180831BlairBraden_04.jpeg"" alt=""cardImage"">",Alt text quality issue: generic,medium,"Alt text ""cardImage"" is too generic. Provide a concise description of the image based on its purpose in the ""What can I do with a degree in health and nursing?"" section.",low,true
altQuality,Analysis,GENERIC,https://asuonline.asu.edu/study/health-and-nursing/,"<img src=""https://cms.asuonline.asu.edu/sites/default/files/AreasOfStudy.png"" alt=""cardImage"">",Alt text quality issue: generic,medium,"Alt text ""cardImage"" is too generic. Provide a concise description of the image based on its purpose in the ""Explore more degree programs"" section.",low,true
altQuality,Analysis,GENERIC,https://asuonline.asu.edu/study/health-and-nursing/,"<img src=""https://cms.asuonline.asu.edu/sites/default/files/AreasOfStudy.png"" alt=""cardImage"">",Alt text quality issue: generic,medium,"Alt text ""cardImage"" is too generic. Provide a concise description of the image based on its purpose in the ""Explore more degree programs"" section.",low,true
altText,Detection,Placeholder Alt Text,https://asuonline.asu.edu/study/law-degrees-public-service/,"<img src=""https://cms.asuonline.asu.edu/sites/g/files/litvpz1971/files/2022-08/20190313PolicyDesignStudio_016-%281%29.jpeg"" alt=""cardImage"">","Image uses a generic placeholder ""cardImage"" as alt text, which provides no value to screen reader users.",medium,"Provide a concise description of the image based on its purpose in the ""What can I do with a degree in law, compliance and public service?"" section.",high,false
altText,Detection,Placeholder Alt Text,https://asuonline.asu.edu/study/law-degrees-public-service/,"<img src=""https://cms.asuonline.asu.edu/sites/g/files/litvpz1971/files/2022-08/190504-NGSC-Medallion-Ceremony-4.jpeg"" alt=""cardImage"">","Image uses a generic placeholder ""cardImage"" as alt text, which provides no value to screen reader users.",medium,"Provide a concise description of the image based on its purpose in the ""What can I do with a degree in law, compliance and public service?"" section.",high,false
altText,Detection,Placeholder Alt Text,https://asuonline.asu.edu/study/law-degrees-public-service/,"<img src=""https://cms.asuonline.asu.edu/sites/default/files/AreasOfStudy.png"" alt=""cardImage"">","Image uses a generic placeholder ""cardImage"" as alt text, which provides no value to screen reader users.",medium,"Provide a concise description of the image based on its purpose in the ""Explore more degree programs"" section.",high,false
altText,Detection,Placeholder Alt Text,https://asuonline.asu.edu/study/law-degrees-public-service/,"<img src=""https://cms.asuonline.asu.edu/sites/default/files/AreasOfStudy.png"" alt=""cardImage"">","Image uses a generic placeholder ""cardImage"" as alt text, which provides no value to screen reader users.",medium,"Provide a concise description of the image based on its purpose in the ""Explore more degree programs"" section.",high,false
altQuality,Analysis,GENERIC,https://asuonline.asu.edu/study/law-degrees-public-service/,"<img src=""https://cms.asuonline.asu.edu/sites/g/files/litvpz1971/files/2022-08/20190313PolicyDesignStudio_016-%281%29.jpeg"" alt=""cardImage"">",Alt text quality issue: generic,medium,"Alt text ""cardImage"" is too generic. Provide a concise description of the image based on its purpose in the ""What can I do with a degree in law, compliance and public service?"" section.",low,true
altQuality,Analysis,GENERIC,https://asuonline.asu.edu/study/law-degrees-public-service/,"<img src=""https://cms.asuonline.asu.edu/sites/g/files/litvpz1971/files/2022-08/190504-NGSC-Medallion-Ceremony-4.jpeg"" alt=""cardImage"">",Alt text quality issue: generic,medium,"Alt text ""cardImage"" is too generic. Provide a concise description of the image based on its purpose in the ""What can I do with a degree in law, compliance and public service?"" section.",low,true
altQuality,Analysis,GENERIC,https://asuonline.asu.edu/study/law-degrees-public-service/,"<img src=""https://cms.asuonline.asu.edu/sites/default/files/AreasOfStudy.png"" alt=""cardImage"">",Alt text quality issue: generic,medium,"Alt text ""cardImage"" is too generic. Provide a concise description of the image based on its purpose in the ""Explore more degree programs"" section.",low,true
altQuality,Analysis,GENERIC,https://asuonline.asu.edu/study/law-degrees-public-service/,"<img src=""https://cms.asuonline.asu.edu/sites/default/files/AreasOfStudy.png"" alt=""cardImage"">",Alt text quality issue: generic,medium,"Alt text ""cardImage"" is too generic. Provide a concise description of the image based on its purpose in the ""Explore more degree programs"" section.",low,true
altText,Detection,Placeholder Alt Text,https://asuonline.asu.edu/study/science-degrees/,"<img src=""https://cms.asuonline.asu.edu/sites/g/files/litvpz1971/files/2022-08/181114-Barrett-Student-Rachel-Geiser-3869-JO.jpeg"" alt=""cardImage"">","Image uses a generic placeholder ""cardImage"" as alt text, which provides no value to screen reader users.",medium,"Provide a concise description of the image based on its purpose in the ""What can I do with a degree in science?"" section.",high,false
altText,Detection,Placeholder Alt Text,https://asuonline.asu.edu/study/science-degrees/,"<img src=""https://cms.asuonline.asu.edu/sites/g/files/litvpz1971/files/2022-08/20180927StephanopoulosNick_03.jpeg"" alt=""cardImage"">","Image uses a generic placeholder ""cardImage"" as alt text, which provides no value to screen reader users.",medium,"Provide a concise description of the image based on its purpose in the ""What can I do with a degree in science?"" section.",high,false
altText,Detection,Placeholder Alt Text,https://asuonline.asu.edu/study/science-degrees/,"<img src=""https://cms.asuonline.asu.edu/sites/default/files/AreasOfStudy.png"" alt=""cardImage"">","Image uses a generic placeholder ""cardImage"" as alt text, which provides no value to screen reader users.",medium,"Provide a concise description of the image based on its purpose in the ""Explore more degree programs"" section.",high,false
altText,Detection,Placeholder Alt Text,https://asuonline.asu.edu/study/science-degrees/,"<img src=""https://cms.asuonline.asu.edu/sites/default/files/AreasOfStudy.png"" alt=""cardImage"">","Image uses a generic placeholder ""cardImage"" as alt text, which provides no value to screen reader users.",medium,"Provide a concise description of the image based on its purpose in the ""Explore more degree programs"" section.",high,false
altQuality,Analysis,GENERIC,https://asuonline.asu.edu/study/science-degrees/,"<img src=""https://cms.asuonline.asu.edu/sites/g/files/litvpz1971/files/2022-08/181114-Barrett-Student-Rachel-Geiser-3869-JO.jpeg"" alt=""cardImage"">",Alt text quality issue: generic,medium,"Alt text ""cardImage"" is too generic. Provide a concise description of the image based on its purpose in the ""What can I do with a degree in science?"" section.",low,true
altQuality,Analysis,GENERIC,https://asuonline.asu.edu/study/science-degrees/,"<img src=""https://cms.asuonline.asu.edu/sites/g/files/litvpz1971/files/2022-08/20180927StephanopoulosNick_03.jpeg"" alt=""cardImage"">",Alt text quality issue: generic,medium,"Alt text ""cardImage"" is too generic. Provide a concise description of the image based on its purpose in the ""What can I do with a degree in science?"" section.",low,true
altQuality,Analysis,GENERIC,https://asuonline.asu.edu/study/science-degrees/,"<img src=""https://cms.asuonline.asu.edu/sites/default/files/AreasOfStudy.png"" alt=""cardImage"">",Alt text quality issue: generic,medium,"Alt text ""cardImage"" is too generic. Provide a concise description of the image based on its purpose in the ""Explore more degree programs"" section.",low,true
altQuality,Analysis,GENERIC,https://asuonline.asu.edu/study/science-degrees/,"<img src=""https://cms.asuonline.asu.edu/sites/default/files/AreasOfStudy.png"" alt=""cardImage"">",Alt text quality issue: generic,medium,"Alt text ""cardImage"" is too generic. Provide a concise description of the image based on its purpose in the ""Explore more degree programs"" section.",low,true
altText,Detection,Placeholder Alt Text,https://asuonline.asu.edu/study/social-sciences-degrees/,"<img src=""https://cms.asuonline.asu.edu/sites/g/files/litvpz1971/files/2022-08/200203-FY20-ASU-Q1-Alumni-at-Industrious-Tempe---CLP---Shannon-Gilpin-of-Nonnahs-Marketing--454.jpeg"" alt=""cardImage"">","Image uses a generic placeholder ""cardImage"" as alt text, which provides no value to screen reader users.",medium,"Provide a concise description of the image based on its purpose in the ""What can I do with a degree in social and behavioral sciences?"" section.",high,false
altText,Detection,Placeholder Alt Text,https://asuonline.asu.edu/study/social-sciences-degrees/,"<img src=""https://cms.asuonline.asu.edu/sites/g/files/litvpz1971/files/2022-08/Madeline-Meier-3.jpeg"" alt=""cardImage"">","Image uses a generic placeholder ""cardImage"" as alt text, which provides no value to screen reader users.",medium,"Provide a concise description of the image based on its purpose in the ""What can I do with a degree in social and behavioral sciences?"" section.",high,false
altText,Detection,Placeholder Alt Text,https://asuonline.asu.edu/study/social-sciences-degrees/,"<img src=""https://cms.asuonline.asu.edu/sites/default/files/AreasOfStudy.png"" alt=""cardImage"">","Image uses a generic placeholder ""cardImage"" as alt text, which provides no value to screen reader users.",medium,"Provide a concise description of the image based on its purpose in the ""Explore more degree programs"" section.",high,false
altText,Detection,Placeholder Alt Text,https://asuonline.asu.edu/study/social-sciences-degrees/,"<img src=""https://cms.asuonline.asu.edu/sites/default/files/AreasOfStudy.png"" alt=""cardImage"">","Image uses a generic placeholder ""cardImage"" as alt text, which provides no value to screen reader users.",medium,"Provide a concise description of the image based on its purpose in the ""Explore more degree programs"" section.",high,false
altQuality,Analysis,GENERIC,https://asuonline.asu.edu/study/social-sciences-degrees/,"<img src=""https://cms.asuonline.asu.edu/sites/g/files/litvpz1971/files/2022-08/200203-FY20-ASU-Q1-Alumni-at-Industrious-Tempe---CLP---Shannon-Gilpin-of-Nonnahs-Marketing--454.jpeg"" alt=""cardImage"">",Alt text quality issue: generic,medium,"Alt text ""cardImage"" is too generic. Provide a concise description of the image based on its purpose in the ""What can I do with a degree in social and behavioral sciences?"" section.",low,true
altQuality,Analysis,GENERIC,https://asuonline.asu.edu/study/social-sciences-degrees/,"<img src=""https://cms.asuonline.asu.edu/sites/g/files/litvpz1971/files/2022-08/Madeline-Meier-3.jpeg"" alt=""cardImage"">",Alt text quality issue: generic,medium,"Alt text ""cardImage"" is too generic. Provide a concise description of the image based on its purpose in the ""What can I do with a degree in social and behavioral sciences?"" section.",low,true
altQuality,Analysis,GENERIC,https://asuonline.asu.edu/study/social-sciences-degrees/,"<img src=""https://cms.asuonline.asu.edu/sites/default/files/AreasOfStudy.png"" alt=""cardImage"">",Alt text quality issue: generic,medium,"Alt text ""cardImage"" is too generic. Provide a concise description of the image based on its purpose in the ""Explore more degree programs"" section.",low,true
altQuality,Analysis,GENERIC,https://asuonline.asu.edu/study/social-sciences-degrees/,"<img src=""https://cms.asuonline.asu.edu/sites/default/files/AreasOfStudy.png"" alt=""cardImage"">",Alt text quality issue: generic,medium,"Alt text ""cardImage"" is too generic. Provide a concise description of the image based on its purpose in the ""Explore more degree programs"" section.",low,true
altQuality,Analysis,TOO LONG,https://asuonline.asu.edu/what-it-costs/financial-aid/,"<img src=""https://cms.asuonline.asu.edu/sites/g/files/litvpz1971/files/2025-02/FAFSA-Calendar-Graphic-3x.png"" alt=""Calendar showing FAFSA timeline where funds can be applied Oct. 1, prior to the academic year you need funds. Funding awards begin July 1 at the start of the academic year. FAFSA is open for funding applications until the academic year ends on June 30. "">",Alt text quality issue: too long,low,Alt text is too long. Keep it concise. Use aria-describedby for extended descriptions if needed.,low,true
